codigo,nombre,departamento,municipio,direccion,tel,email,coords,url,estudiantes_grado_3,estudiantes_grado_4,estudiantes_grado_5,nota_mate_grado_3,nota_mate_grado_4,nota_mate_grado_5
13321,"CENTRO ESCOLAR ""MARIO SANTOS REYES """,LA UNIÓN,ANAMOROS,"CASERIO UVITAS, CANTON HUERTAS VIEJAS, ANAMOROS, LA UNIÓN.",,,"('13.7594444', '-87.9041667')",https://portal.siges.sv/pp/sede?sede=2890,7.0,6.0,7.0,6.16,,
13328,"CENTRO ESCOLAR ""CANTON EL TIZATE """,LA UNIÓN,ANAMOROS,"CANTON EL TIZATE, ANAMOROS, LA UNIÓN.",,,"('13.7091667', '-87.8422222')",https://portal.siges.sv/pp/sede?sede=2896,10.0,10.0,12.0,7.11,,6.17
13329,"CENTRO ESCOLAR ""CANTON TERRERITOS""",LA UNIÓN,ANAMOROS,"CANTON TERRERITOS, ANAMOROS. LA UNION, ANAMOROS, LA UNIÓN.",,,"('13.7491667', '-87.8391667')",https://portal.siges.sv/pp/sede?sede=2897,10.0,7.0,9.0,6.95,7.11,6.64
13331,"CENTRO ESCOLAR ""DE ANAMOROS """,LA UNIÓN,ANAMOROS,"BARRIO NUEVO, ANAMOROS, LA UNIÓN.",,,"('13.737222', '-87.8725')",https://portal.siges.sv/pp/sede?sede=2899,53.0,92.0,76.0,7.38,7.32,6.89
13332,"CENTRO ESCOLAR ""CANTON TULIMA """,LA UNIÓN,ANAMOROS,"CANTON TULIMA., ANAMOROS, LA UNIÓN.",,,"('13.6958333', '-87.8677778')",https://portal.siges.sv/pp/sede?sede=2900,21.0,10.0,16.0,7.71,,7.67
86001,"CENTRO ESCOLAR CANTÓN AGUA BLANCA,",LA UNIÓN,ANAMOROS,"CANTON AGUA BLANCA, ANAMOROS, LA UNION., ANAMOROS, LA UNIÓN.",,,"('13.7563889', '-87.9258333')",https://portal.siges.sv/pp/sede?sede=7294,12.0,6.0,5.0,5.43,5.91,5.91
86002,"CENTRO ESCOLAR CASERÍO LOS MEDRANOS,CANTÓN AGUA BLANCA",LA UNIÓN,ANAMOROS,"CASERIO LOS MEDRANOS, CANTON AGUA BLANCA, ANAMOROS, LA UNION., ANAMOROS, LA UNIÓN.",,,"('13.7469444', '-87.9141667')",https://portal.siges.sv/pp/sede?sede=7295,8.0,10.0,11.0,,,
86004,"CENTRO ESCOLAR CASERÍO LA MONTAÑITA , CANTÓN AGUA BLANCA",LA UNIÓN,ANAMOROS,"CASERIO LA MONTAÑITA , CANTON AGUA BLANCA, ANAMOROS, LA UNION., ANAMOROS, LA UNIÓN.",,,"('13.7763889', '-87.8933333')",https://portal.siges.sv/pp/sede?sede=7297,11.0,7.0,12.0,6.91,,5.83
86005,"CENTRO ESCOLAR CASERÍO LOS BENITEZ, CANTÓN AGUA BLANCA",LA UNIÓN,ANAMOROS,"CASERIO LOS BENITEZ, CANTON AGUA BLANCA, ANAMOROS, LA UNION., ANAMOROS, LA UNIÓN.",,,"('13.7394079', '-87.93762616')",https://portal.siges.sv/pp/sede?sede=7298,13.0,17.0,17.0,,7.24,6.24
86007,"CENTRO ESCOLAR CASERÍO LOS CRUZ , CANTÓN CEDRO",LA UNIÓN,ANAMOROS,"CASERIO LOS CRUZ, CANTON CEDROS, ANAMOROS, LA UNION., ANAMOROS, LA UNIÓN.",,,"('13.7805556', '-87.8808333')",https://portal.siges.sv/pp/sede?sede=7300,8.0,7.0,8.0,,6.5,6.38
86009,"CENTRO ESCOLAR CASERÍO LOS GARCÍA, CANTÓN EL CARBONAL",LA UNIÓN,ANAMOROS,"CASERIO LOS GARCIA, CANTON EL CARBONAL, ANAMOROS, LA UNION., ANAMOROS, LA UNIÓN.",,,"('13.7147222', '-87.9216667')",https://portal.siges.sv/pp/sede?sede=7302,8.0,10.0,10.0,8.01,,5.75
86010,"CENTRO ESCOLAR CASERÍO BENITEZ MEDRANO, CANTÓN EL CARBONAL",LA UNIÓN,ANAMOROS,"CASERIO BENITEZ MEDRANO, CANTON EL CARBONAL, ANAMOROS, LA UNION., ANAMOROS, LA UNIÓN.",,,"('13.7377778', '-87.8991667')",https://portal.siges.sv/pp/sede?sede=7303,6.0,7.0,10.0,,6.14,
86012,"CENTRO ESCOLAR CASERÍO LOS ZAVALA, CANTÓN CORDONCILLO",LA UNIÓN,ANAMOROS,"CASERIO LOS ZAVALA , CANTON CORDONCILLO, ANAMOROS, LA UNION., ANAMOROS, LA UNIÓN.",,,"('13.7372222', '-87.8766667')",https://portal.siges.sv/pp/sede?sede=7305,3.0,7.0,3.0,,,
86014,"CENTRO ESCOLAR CASERÍO EL SALITRE, CANTÓN HUERTAS VIEJAS",LA UNIÓN,ANAMOROS,"CASERIO EL SALITRE , CANTON HUERTAS VIEJAS, ANAMOROS, LA UNION., ANAMOROS, LA UNIÓN.",,,"('13.765833', '-87.894167')",https://portal.siges.sv/pp/sede?sede=7307,10.0,10.0,8.0,,6.29,6.94
86015,"CENTRO ESCOLAR CASERÍO EL ALTO, CANTÓN HUERTAS VIEJAS",LA UNIÓN,ANAMOROS,"CASERIO EL ALTO , CANTON HUERTAS VIEJAS, ANAMOROS, LA UNION., ANAMOROS, LA UNIÓN.",,,"('13.7761111', '-87.8927778')",https://portal.siges.sv/pp/sede?sede=7308,10.0,14.0,7.0,,7.82,8.49
86019,"CENTRO ESCOLAR CASERÍO LOS RÍOS, CANTÓN CEDROS",LA UNIÓN,ANAMOROS,"CASERIO LOS RIOS, CANTON CEDROS, ANAMOROS, LA UNION., ANAMOROS, LA UNIÓN.",,,"('13.7594444', '-87.9041667')",https://portal.siges.sv/pp/sede?sede=7312,4.0,8.0,5.0,,,
